Ref,Val,Package,PosX,PosY,Rot,Side
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",4.282000,0.236000,270.000000,bottom
"IC2","MS5840-02BA01","MS584002BA01",0.000000,0.000000,180.000000,bottom
